"","degree","treatment","SPEI_12_Sept.trend","SE","df","lower.CL","upper.CL"
"1","linear","control",0.619260765170484,0.142553302596595,218,0.338301662630477,0.900219867710492
"2","quadratic","control",-0.281390092278546,0.214587976489042,218,-0.704322737065112,0.141542552508019
"3","linear","large_addition",0.580023806253263,0.106117102176797,218,0.37087701520269,0.789170597303836
"4","quadratic","large_addition",-0.423756024369391,0.160443718356367,218,-0.739975447535974,-0.107536601202807
"5","linear","small_addition",0.455756558537494,0.106121112948641,218,0.246601862634229,0.66491125444076
"6","quadratic","small_addition",-0.48861449670587,0.160574563661615,218,-0.805091803617442,-0.172137189794298
