"","treatment","degree","SPEI_12_Sept.trend","SE","df","lower.CL","upper.CL"
"1","control","linear",0.0811326715527645,0.0585269383954094,623,-0.0338013060458735,0.196066649151402
"2","fertilized","linear",-0.0105132146705884,0.0579504959412232,623,-0.124315186633313,0.103288757292137
"3","control","quadratic",-0.211786050766288,0.0501015420270928,623,-0.310174411184109,-0.113397690348468
"4","fertilized","quadratic",-0.262288896425409,0.0495154253331528,623,-0.359526253137613,-0.165051539713205
