"","Site","degree","SPEI_12_Sept.trend","SE","df","lower.CL","upper.CL"
"1","C","linear",66.7980650791595,8.94065701401573,984,49.2531187112599,84.3430114470592
"2","DW","linear",21.9689458413883,9.6411480931315,984,3.04937136785715,40.8885203149195
"3","F","linear",4.9021200523253,9.8032453992202,984,-14.3355505675236,24.1397906721743
"4","M","linear",59.1969745439377,37.9963030871418,984,-15.3661251026883,133.760074190564
"5","C","quadratic",-14.1579655867402,7.64718882235061,984,-29.1646387588587,0.848707585378229
"6","DW","quadratic",-32.4083057749753,8.04011813931911,984,-48.1860546948583,-16.6305568550924
"7","F","quadratic",-28.5360966909143,8.14417148921067,984,-44.5180375891257,-12.554155792703
"8","M","quadratic",-39.8635631201577,43.0168852573087,984,-124.278941494524,44.551815254209
